10;7;0;0
3;3;0;0
18;1;1;0
63;4;4;4
114;51;14;7
381;39;78;38
414;33;82;41
467;21;111;54
17;7;0;0
42;24;1;1
59;17;2;2
143;29;16;9
201;42;23;15
226;25;36;21
270;44;53;27
342;72;63;33
10;0;0;0
159;16;17;10
446;32;91;46
